sku,currency,price_level,min_quantity,unit_price,id
FB : FB-ISL,USA,EQP,0,0.8,115
FB : FB-ISL,USA,EQP,1,0.8,116
FB : FB-ISL,USA,Net Price,0,0.8,117
FB : FB-ISL,USA,Net Price,1,0.8,118
FB : FB-ISL,USA,Online Price,0,1,119
FB : FB-ISL,USA,Online Price,1,1,120
FB : FB-UBL,USA,EQP,0,0.8,121
FB : FB-UBL,USA,EQP,1,0.8,122
FB : FB-UBL,USA,Net Price,0,0.8,123
FB : FB-UBL,USA,Net Price,1,0.8,124
FB : FB-UBL,USA,Online Price,0,1,125
FB : FB-UBL,USA,Online Price,1,1,126
FB : FB-UFS,USA,EQP,0,0.8,127
FB : FB-UFS,USA,EQP,1,0.8,128
FB : FB-UFS,USA,Net Price,0,0.8,129
FB : FB-UFS,USA,Net Price,1,0.8,130
FB : FB-UFS,USA,Online Price,0,1,131
FB : FB-UFS,USA,Online Price,1,1,132
FB : FB-UGD,USA,EQP,0,0.8,133
FB : FB-UGD,USA,EQP,1,0.8,134
FB : FB-UGD,USA,Net Price,0,0.8,135
FB : FB-UGD,USA,Net Price,1,0.8,136
FB : FB-UGD,USA,Online Price,0,1,137
FB : FB-UGD,USA,Online Price,1,1,138
FB : FB-UGN,USA,EQP,0,0.8,139
FB : FB-UGN,USA,EQP,1,0.8,140
FB : FB-UGN,USA,Net Price,0,0.8,141
FB : FB-UGN,USA,Net Price,1,0.8,142
FB : FB-UGN,USA,Online Price,0,1,143
FB : FB-UGN,USA,Online Price,1,1,144
FB : FB-UPK,USA,EQP,0,0.8,145
FB : FB-UPK,USA,EQP,1,0.8,146
FB : FB-UPK,USA,Net Price,0,0.8,147
FB : FB-UPK,USA,Net Price,1,0.8,148
FB : FB-UPK,USA,Online Price,0,1,149
FB : FB-UPK,USA,Online Price,1,1,150
FB : FB-UPU,USA,EQP,0,0.8,151
FB : FB-UPU,USA,EQP,1,0.8,152
FB : FB-UPU,USA,Net Price,0,0.8,153
FB : FB-UPU,USA,Net Price,1,0.8,154
FB : FB-UPU,USA,Online Price,0,1,155
FB : FB-UPU,USA,Online Price,1,1,156
FB : FB-URD,USA,EQP,0,0.8,157
FB : FB-URD,USA,EQP,1,0.8,158
FB : FB-URD,USA,Net Price,0,0.8,159
FB : FB-URD,USA,Net Price,1,0.8,160
FB : FB-URD,USA,Online Price,0,1,161
FB : FB-URD,USA,Online Price,1,1,162
FB : FB-USL,USA,EQP,0,0.8,163
