id,name,hex_code,r,g,b
1385,2399,#00ACA0,0,172,160
1440,239C,#db3eb1,,,
198,240,#c40f89,,,
199,2405,#a8007a,,,
200,241,#ad0075,,,
1503,2412,48D597,,,
1402,2414,#00BB7E,0,187,126
201,2415,#9b0070,,,
202,242,#7c1c51,,,
1429,2421,30b700,,,
203,2425,#87005b,,,
204,243,#f2bad8,,,
205,244,#eda0d3,,,
206,245,#e87fc9,,,
1353,2450,#D64388,214,67,136
207,246,#cc00a0,,,
208,247,#b7008e,,,
209,248,#a3057f,,,
210,249,#7f2860,,,
211,250,#edc4dd,,,
212,251,#e29ed6,,,
213,252,#d36bc6,,,
214,253,#af23a5,,,
215,254,#a02d96,,,
216,255,#772d6b,,,
217,256,#e5c4d6,,,
218,2562,#d8a8d8,,,
219,2563,#d1a0cc,,,
220,2567,#bf93cc,,,
221,257,#d3a5c9,,,
222,2572,#c687d1,,,
223,2573,#ba7cbc,,,
224,2577,#aa72bf,,,
225,258,#9b4f96,,,
226,2582,#aa47ba,,,
227,2583,#9e4fa5,,,
228,2587,#8e47ad,,,
229,259,#72166b,,,
230,2592,#930fa5,,,
231,2593,#872b93,,,
232,2597,#66008c,,,
233,260,#681e5b,,,
234,2602,#820c8e,,,
235,2603,#70147a,,,
236,2607,#5b027a,,,
237,261,#5e2154,,,
238,2612,#701e72,,,
239,2613,#66116d,,,
240,2617,#560c70,,,
241,262,#542344,,,
242,2622,#602d59,,,
243,2623,#5b195e,,,
244,2627,#4c145e,,,
245,263,#e0cee0,,,
246,2635,#c9add8,,,
247,264,#c6aadb,,,
248,2645,#b591d1,,,
249,265,#9663c4,,,
250,2655,#9b6dc6,,,
251,266,#6d28aa,,,
252,2665,#894fbf,,,
253,267,#59118e,,,
254,268,#4f2170,,,
255,2685,#56008c,,,
256,269,#442359,,,
257,2695,#44235e,,,
258,270,#baafd3,,,
259,2705,#ad9ed3,,,
260,2706,#d1cedd,,,
261,2707,#bfd1e5,,,
262,2708,#afbcdb,,,
263,271,#9e91c6,,,
264,2715,#937acc,,,
265,2716,#a5a0d6,,,
266,2717,#a5bae0,,,
267,2718,#5b77cc,,,
268,272,#8977ba,,,
269,2725,#7251bc,,,
270,2726,#6656bc,,,
271,2727,#5e68c4,,,
272,2728,#3044b5,,,
273,273,#38197a,,,
274,2735,#4f0093,,,
275,2736,#4930ad,,,
276,2738,#2d008e,,,
277,274,#2b1166,,,
278,2745,#3f0077,,,
279,2746,#3f2893,,,
280,2747,#1c146b,,,
281,2748,#1e1c77,,,
282,275,#260f54,,,
283,2755,#35006d,,,
284,2756,#332875,,,
285,2757,#141654,,,
286,2758,#192168,,,
