sku,name,img,type
FB,Fabric,,
FB : FB-BBK,Basketball,,
FB : FB-BBL,Baseball,,
FB : FB-BP,Burlap,,
FB : FB-CBKBK,Circle Black/Black,,
FB : FB-F,Football,,
FB : FB-HGRB,Holographic Rainbow Insert,,
FB : FB-MBWT,Gold Marble Fabric,,
FB : FB-MCP,Copper Insert,,
FB : FB-MTL,Fabric,,
FB : FB-PC,Fabric Peacock,,
FB : FB-PD,Polka Dot,,
FB : FB-SNBK,Snake Black,,
FB : FB-SNGN,Snake Green,,
FB : FB-SNRD,Snake Red,,
FB : FB-SNSL,Snake Silver,,
