sku,sales_description,category,name,purchase_description,img,id
GJB,Gourmet Jelly Beans,Food : Candy,Gourmet Jelly Beans,Kirkland Signature Gourmet Jelly Beans - 4 lb - 2 Pack,http://www.gordonsinclair.com/site/images/FOOD_SETS_600x600/GJB-JELLYBEANS_200px.jpg,0
HKS,Hershey Kisses - Silver,Food : Chocolate,Hershey Kisses - Silver,$0.26/oz max price,http://www.gordonsinclair.com/site/images/FOOD_SETS_600x600/HKS-HERSHEYKISSESILVER_200px.jpg,1
MNM,M&Ms,Food : Candy,M&Ms,,http://www.gordonsinclair.com/site/images/FOOD_SETS_600x600/MNM-M&MS_200px.jpg,2
HC,Hot Chocolate, Food : Chocolate, Hot Chocolate,,http://www.gordonsinclair.com/site/images/FOOD_SETS_600x600/HCM-HOTCHOCOLATE_200px.jpg,3
PMP,Peppermint Puffs,Food : Candy,Peppermint Puffs,Bobs Sweet Stripes Square Tub (350 count.) ES,http://www.gordonsinclair.com/site/images/FOOD_SETS_600x600/PMP_PEPPERMINT_PUFFS_200px.jpg,4
SLM,Starlight Mints,Food : Candy,Starlight Mints,"Ferrara Starlight Mints, 25 Pound Bulk Candy Bag",http://www.gordonsinclair.com/site/images/FOOD_SETS_600x600/SLM_STARLIGHTMINTS_200px.jpg,5
